NSESymbol,Name,ISIN,ListingDate,ICICISymbol,Active,Series,LotSize,IsFuture,X
ARTNIRMAN,Art Nirman Limited,INE738V01013,20211018,ARTNIR,TRUE,BE,,,
ARTSONENGG,ARTSON ENGINEERING LTD.,,,,,,,,
ARUNASUGAR,ARUNA SUGARS AND ENTERPRISES LTD,,,,,,,,TRUE
ARVEE,Arvee Laboratories (India) Limited,INE006Z01016,20210322,ARVLAB,TRUE,EQ,,,
ARVIND,ARVIND LIMITED,INE034A01011,19950208,ARVLIM,TRUE,EQ,,,
ARVINDF-RE,ARVIND FASHIONS RIGHTS ENTITLE,INE955V20013,,ARVRE1,,,,,
ARVINDFASN,ARVIND FASHIONS LIMITED,INE955V01021,20190308,ARVFAS,TRUE,EQ,,,
ARVINDMILL,,,,,,,,,
ARVINDPOLY,ARVIND POLYCOT LTD,,,,,,,,TRUE
ARVINDREM,ARVIND REMEDIES LIMITED,INE211C01037,,ARVREM,,,,,
ARVINFRA,,,,,,,,,
ARVSMART,ARVIND SMARTSPACES LIMITED,INE034S01021,20150826,ARVINF,TRUE,EQ,,,
ARYAFINFAB,ARYAN FINEFAB LTD,,,,,,,,
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,INE439A01020,19980318,ASAIND,TRUE,EQ,,,
ASAHISONG,ASAHI SONGWON COLORS LTD,INE228I01012,20110829,ASASON,TRUE,EQ,,,
ASAL,AUTOMOTIVE STAMPINGS AND ASSEM,INE900C01027,20020312,AUTSTA,TRUE,BE,,,
ASALCBR,ASSOCIATED ALCOHOLS & BREWERIE,INE073G01016,20200212,ASSALC,TRUE,EQ,,,
ASHAPURMIN,ASHAPURA MINECHEM LTD,INE348A01023,19950920,ASHMIN,TRUE,EQ,,,
ASHCO,ASHCO NIULAB INDUSTRIES LIMITED,,,,,,,,
ASHCONIUL,ASHCO NIULAB INDUSTRIES LIMITE,INE714F01033,,DATIND,,,,,
ASHIANA,ASHIANA HOUSING LIMITED,INE365D01021,20110629,ASHHOU,TRUE,EQ,,,
ASHIMASYN,ASHIMA LIMITED,INE440A01010,19950727,ASHLIM,TRUE,EQ,,,
ASHKLEYFIN,ASHOK LEYLAND FINANCE LTD,INE251A01011,,ASHLF,,,,,
ASHOKA,ASHOKA BUILDCON LIMITED,INE442H01029,20101014,ASHBUI,TRUE,EQ,,,
ASHOKALCO,ASHOK ALCO-CHEM LTD.,,,,,,,,
ASHOKLEY,ASHOK LEYLAND LTD,INE208A01029,19950525,ASHLEY,TRUE,EQ,4500,TRUE,
ASHOKORG,ASHOK ORGANIC INDUSTRIES LTD,,,,,,,,
ASIAN-RE,ASIAN GRANITO IND RIGHTS ENTIT,INE022I20019,,ASIRE1,,,,,
ASIAN-RE1,,,,,,,,,
ASIANALLOY,ASIAN ALLOYS LTD.,,,,,,,,TRUE
ASIANCABLE,ASIAN CABLES & INDUSTRIES LIMITED,,,,,,,,TRUE
ASIANCOFFE,ASIAN COFFEE LTD,,,,,,,,TRUE
ASIANCONSO,ASIAN CONSOLIDATED INDUSTRIES LTD.,,,,,,,,TRUE
ASIANELEC,ASIAN ELECTRONICS LTD,INE441A01026,,ASIELE,,,,,
